request_started_at,first_raw_event_ms,first_nonempty_text_ms,first_20_text_chars_ms,total_ms,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,retries,error,raw_events,response_chars,response_text,tool_calls,request_id,response_model,requested_service_tier,response_service_tier,azure_region,arm,provider,requested_model,azure_deployment,block_number,block_sequence,sequence_number,workload,workload_hash,request_shape_sha256,message_count,tool_count
2026-08-28T12:44:22.091746+00:00,2113.6577030010812,2115.5289680027636,2186.055368001689,2544.078812999942,10031,10028,3,35,0,null,35,102,"Potrebujem typ izby, termín ubytovania a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqERps7iSh1ZwMwJHbqf5XDCcoQC,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,1,1,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:24.636119+00:00,1339.30863400019,1339.9003369995626,1365.6329170007666,1739.9440260014671,10031,10028,3,35,0,null,35,99,"Potrebujem typ izby, termín pobytu a meno hosťa. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqETRQnYtteqnIvisvIAs3hibgsV,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,2,2,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:26.376202+00:00,1347.1453190031752,1347.8682990025845,1351.270346000092,1574.6118720016966,10031,10028,3,34,0,null,34,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEUtVHiwUkL3cB79PEGMf9YMTX1,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,3,3,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:27.951026+00:00,2023.668349997024,2024.3166349973762,2027.5977949968365,2293.3901339965814,10031,10028,3,36,0,null,36,103,"Potrebujem typ izby, termín ubytovania a meno hosťa. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEXbOcMf1xcKEOmPnGa6puL4yx2,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,4,4,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:30.244627+00:00,1983.0520390023594,1983.6865329998545,1986.5326610015472,2086.6000360001635,10031,10028,3,34,0,null,34,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEZf4V2H9O7zL7WIh58Lmpwazqm,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,5,5,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:32.331433+00:00,2150.1134729987825,2151.017159998446,2154.9394850007957,2302.962548001233,10031,10028,3,35,0,null,35,102,"Potrebujem typ izby, termín ubytovania a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEbiQQrapPjBCmq5Rtu1s5d0cVD,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,6,6,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:34.634645+00:00,1479.567695998412,1481.7747809975117,1492.9338229994755,1735.9862759985845,10031,10028,3,19,0,null,19,51,"Potrebujem typ izby, termín ubytovania a vaše meno.",[],chatcmpl-EHqEdknOVHzTrQ6PqPXCvXxw8tIxX,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,7,7,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:36.370823+00:00,3004.8434260024806,3008.4337830012373,3048.881048001931,3427.0298530027503,10031,10028,3,35,0,null,35,102,"Potrebujem typ izby, termín ubytovania a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEgSNyx2FXGY7FdtKGmX4Btne22,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,8,8,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:39.797978+00:00,2568.137091002427,2569.158845999482,2575.2045629997156,2958.5571409988916,10031,10028,3,35,0,null,35,99,"Potrebujem typ izby, termín pobytu a meno hosťa. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqEjBLcJePaVUWHO8gYSv5uJpVZw,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,9,9,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:42.756697+00:00,1760.2397650007333,1761.1140700028045,1765.5519250001817,2111.6008240023803,10031,10028,3,34,0,null,34,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqElLYSOQMX4rRHFX6Rt92GB9I3O,gpt-5.6-terra,default,default,,B,openai,gpt-5.6-terra,,1,10,10,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:44.868550+00:00,1696.2324249980156,1780.806037997536,1781.8065769970417,1784.4235529992147,10031,10028,3,29,0,null,29,71,"Dobrý deň. Potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqEnNWvQWvzH2fbSWs4HQB2gszmK,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,1,1,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:46.653060+00:00,1549.6844179979234,2059.245935000945,2060.168362000695,2065.3166949996375,10031,10028,3,42,0,null,42,113,"Dobrý deň. Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu, vaše meno a číslo, z ktorého voláte.",[],chatcmpl-EHqEp8FrVnXTW5YH0Lzo2iuKbi28Z,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,2,2,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:48.718447+00:00,1434.9812389991712,1664.99881299751,1666.419004999625,1673.5615779980435,10031,10028,3,35,0,null,35,87,"Dobrý deň, potrebujem typ izby, dátum príchodu, dátum odchodu a vaše meno a priezvisko.",[],chatcmpl-EHqErDSqOtDRMP5bIZglstnENV1iE,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,3,3,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:50.392115+00:00,1485.211259998323,1528.4293789991352,1530.130741000903,1533.7373500005924,10031,10028,3,29,0,null,29,71,"Dobrý deň. Potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqEsqzE1kED79fOCDVs8IquavlyC,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,4,4,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:51.925924+00:00,1436.751623001328,1592.4006150016794,1593.1736810016446,1596.3372270016407,10031,10028,3,31,0,null,31,85,"Dobrý deň. Na rezerváciu potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqEus78edpB27yANDn2Fz70hIgKW,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,5,5,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:53.522348+00:00,1541.1148599996523,1843.3407640004589,1848.2943170020008,1867.005882999365,10031,10028,3,34,0,null,34,82,"Dobrý deň. Potrebujem typ izby, dátum príchodu a odchodu a vaše meno a priezvisko.",[],chatcmpl-EHqEvpaAvYPBqqOORegPJ0gPTx3Iv,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,6,6,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:55.389524+00:00,1417.9269160013064,1592.2867040026176,1594.7540390006907,1599.1377080026723,10031,10028,3,31,0,null,31,85,"Dobrý deň. Na rezerváciu potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqExn7B3sHFuqgneyGi2LHWuy0sg,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,7,7,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:56.988755+00:00,1682.7782830005162,1974.4893810020585,1977.3355440011073,1987.2962760018709,10031,10028,3,30,0,null,30,75,"Dobrý deň. Potrebujem typ izby, termín ubytovania a vaše meno a priezvisko.",[],chatcmpl-EHqEz7ymyqC7RJvju9BdnGI7u6MMu,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,8,8,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:44:58.976247+00:00,1411.3993189967005,1444.0936929968302,1446.5273919995525,1456.820303999848,10031,10028,3,29,0,null,29,71,"Dobrý deň. Potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqF1jxF4IJK4sUQmYdJQyAkEcYvm,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,9,9,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:00.433268+00:00,1542.9502180013515,2000.9099320013775,2002.0630710023397,2007.268474000739,10031,10028,3,45,0,null,45,123,"Dobrý deň. Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu, vaše meno a telefónne číslo, z ktorého voláte.",[],chatcmpl-EHqF2W1FsMhR9cFKthEUNTvdLl1WD,gpt-5.6-luna-2026-07-09,default,default,Poland Central,C,azure,gpt-5.6-luna,gpt-5.6-luna,1,10,10,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:02.440635+00:00,1122.3120459981146,1122.707085996808,1124.8372029986058,1402.4465729999065,10031,10028,3,56,0,null,56,150,"Dobrý deň. Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu a vaše meno a priezvisko; telefón môžem zapísať z čísla, z ktorého voláte.",[],chatcmpl-EHqF5BiOaWzzCFKWW3YTYCCrvAUim,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,1,1,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:03.843337+00:00,1831.6794779966585,1832.173081998917,1877.2074289990996,2230.4675609993865,10031,10028,3,44,0,null,44,123,"Dobrý deň. Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu, vaše meno a telefónne číslo, z ktorého voláte.",[],chatcmpl-EHqF6zd78q2HnVMaIvCCdvNf0an6N,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,2,2,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:06.073993+00:00,2272.264006998739,2277.1438179988763,2302.988153001934,2523.256249001861,10031,10028,3,30,0,null,30,85,"Dobrý deň. Na rezerváciu potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqFAVYXKsgRVPGqw5hQG6albyOSp,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,3,3,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:08.597487+00:00,1518.5761630018533,1519.354600000952,1524.778374001471,1535.7227090025845,10031,10028,3,35,0,null,35,87,"Dobrý deň. Potrebujem typ izby, dátum príchodu, dátum odchodu a vaše meno a priezvisko.",[],chatcmpl-EHqFBt20h0Y2GdE6XudppKIzVb5GK,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,4,4,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:10.133401+00:00,1619.7914799995488,1620.1532340019185,1621.0981610020099,1789.1934270010097,10031,10028,3,32,0,null,32,90,"Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu a vaše meno a priezvisko.",[],chatcmpl-EHqFDDZBJOGmcp3xSSajX254KlSVF,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,5,5,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:11.922949+00:00,1777.760593999119,1778.599924997252,1780.6045799989079,1798.8613300003635,10031,10028,3,32,0,null,32,90,"Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu a vaše meno a priezvisko.",[],chatcmpl-EHqFF35wDI3xi6tteH0xoGwFaUlhq,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,6,6,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:13.722033+00:00,1618.467274998693,1619.487861997186,1623.6885999969672,1752.0083659983356,10031,10028,3,37,0,null,37,101,"Dobrý deň. Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu a vaše meno a priezvisko.",[],chatcmpl-EHqFGeNAPibKlk1ybrzVPzTIHabuS,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,7,7,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:15.474181+00:00,1062.3123200020927,1069.3728170008399,1101.3354480019188,1366.0462309999275,10031,10028,3,32,0,null,32,90,"Na rezerváciu potrebujem typ izby, dátum príchodu, dátum odchodu a vaše meno a priezvisko.",[],chatcmpl-EHqFIm0pKgUsiiyF3cmYCqQeH61yi,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,8,8,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:16.840387+00:00,2594.925602999865,2595.5266950004443,2598.3994109992636,2754.4527600002766,10031,10028,3,40,0,null,40,121,"Na rezerváciu potrebujem typ izby, termín pobytu a vaše meno a priezvisko. Rezerváciu viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqFKVj0HIpRC6VUWv3KfP7RmgZ0d,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,9,9,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:19.595008+00:00,1152.9135620003217,1172.7155260014115,1185.9332700005325,1427.289547998953,10031,10028,3,42,0,null,42,118,"Dobrý deň. Na rezerváciu potrebujem typ izby, dátum príchodu a odchodu, vaše meno a telefónne číslo, z ktorého voláte.",[],chatcmpl-EHqFMRVvGUsPxV0SR2NWqJafr23lf,gpt-5.6-luna,default,default,,D,openai,gpt-5.6-luna,,1,10,10,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:21.022518+00:00,1278.6417120005353,1502.1206499986874,1505.0912869992317,1514.3116690014722,10031,10028,3,35,0,null,35,98,"Potrebujem typ izby, termín pobytu a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqFNdyPOTKUsukH3mUYUt49PFgEU,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,2,1,11,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:22.536958+00:00,1300.5090539991215,1301.961728000606,1304.4332839999697,1314.2279429994232,10031,10028,3,24,0,null,24,60,"Potrebujem typ izby, termín pobytu a vaše meno a priezvisko.",[],chatcmpl-EHqFOnDrJsvMEcPXm5wGnpNh8DtsS,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,2,2,12,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:23.851352+00:00,1452.4544849991798,1696.7370029997255,1699.590256997908,1705.0388289972034,10031,10028,3,19,0,null,19,47,"Potrebujem typ izby, termín pobytu a vaše meno.",[],chatcmpl-EHqFQ2K0pIzK8kndOAa7zYIVOg58r,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,2,3,13,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
2026-08-28T12:45:25.556912+00:00,1748.007977999805,2068.763518000196,2071.796448999521,2092.8492470011406,10031,10028,3,36,0,null,36,102,"Potrebujem typ izby, termín ubytovania a vaše meno. Rezerváciu vám viem vybaviť priamo tu cez telefón.",[],chatcmpl-EHqFSxJ2ergzetzuXKJRRzOUhlzpy,gpt-5.6-terra-2026-07-09,default,default,Poland Central,A,azure,gpt-5.6-terra,gpt-5.6-terra,2,4,14,warm,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,6cc90b0592c68d2bae6c0e7672a99a5ca54de69773d6903e12eee4ba95497456,3,4
